id,col_01,col_02,col_03,col_04,col_05,col_06,col_07,col_08,col_09,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49
11,77321,317.5783,C,text_4779,2021-08-28 00:00:00,661835,557.2063,B,text_342,2020-06-13 00:00:00,388839,872.763,B,text_9289,2021-10-05 00:00:00,326203,891.4904,B,text_7868,2022-06-15 00:00:00,443301,63.9745,B,text_6496,2021-07-16 00:00:00,827167,322.3245,A,text_723,2021-11-27 00:00:00,985023,980.2328,C,text_9457,2021-05-31 00:00:00,651441,863.5556,D,text_1751,2022-03-29 00:00:00,745234,448.1389,C,text_7058,2021-12-10 00:00:00,24996,858.3521,C,text_1281
12,123830,154.7303,B,text_3391,2022-03-23 00:00:00,222344,929.5837,A,text_3883,2021-07-14 00:00:00,984524,992.5286,A,text_207,2020-07-13 00:00:00,307768,429.3469,A,text_8172,2021-09-22 00:00:00,666568,291.1861,D,text_1547,2022-07-16 00:00:00,519911,822.1796,A,text_2785,2022-06-09 00:00:00,645431,427.4995,A,text_6607,2021-08-21 00:00:00,645555,292.9605,A,text_3866,2022-12-18 00:00:00,320854,92.5904,A,text_6698,2021-01-31 00:00:00,339844,859.0365,A,text_5709
13,221808,266.6582,A,text_2799,2020-08-26 00:00:00,9992,837.174,B,text_728,2022-12-19 00:00:00,421966,810.9454,C,text_7357,2022-07-22 00:00:00,563638,484.7481,C,text_5260,2021-03-27 00:00:00,122957,805.264,B,text_1124,2020-02-29 00:00:00,265571,668.4467,D,text_6935,2020-07-14 00:00:00,850319,255.3959,B,text_4368,2021-06-02 00:00:00,180284,990.3585,B,text_3111,2020-02-11 00:00:00,331947,717.7174,A,text_6894,2020-12-26 00:00:00,150425,667.6246,C,text_5443
14,447293,927.2893,A,text_7066,2020-05-11 00:00:00,785517,126.858,B,text_1591,2021-07-09 00:00:00,184207,500.9949,C,text_5508,2021-08-04 00:00:00,378591,136.7283,D,text_2465,2020-05-02 00:00:00,692584,893.7396,D,text_2448,2021-03-25 00:00:00,124019,296.4335,B,text_2227,2021-09-10 00:00:00,782549,848.351,D,text_9690,2022-02-21 00:00:00,587288,508.005,D,text_9234,2021-12-28 00:00:00,853594,541.3263,C,text_1576,2021-02-15 00:00:00,784364,363.4672,B,text_9587
15,538129,712.1378,C,text_9527,2020-07-24 00:00:00,10158,116.9123,A,text_9940,2020-02-19 00:00:00,25114,932.7252,D,text_8390,2021-10-05 00:00:00,168472,748.6029,B,text_7376,2021-03-09 00:00:00,276371,61.9626,B,text_7559,2020-02-20 00:00:00,204488,625.2366,B,text_3402,2021-08-25 00:00:00,723951,161.8414,A,text_3991,2020-06-21 00:00:00,820278,45.4518,B,text_529,2021-04-20 00:00:00,849307,540.6699,D,text_511,2021-01-02 00:00:00,251362,247.2556,A,text_5093
16,39708,158.4525,A,text_1986,2022-01-23 00:00:00,804363,516.0634,B,text_4343,2022-08-03 00:00:00,79364,234.0515,C,text_5005,2021-03-30 00:00:00,736259,796.8133,A,text_6276,2020-02-19 00:00:00,853826,895.7275,A,text_1163,2021-02-06 00:00:00,572675,258.4827,D,text_9013,2021-08-09 00:00:00,946299,803.0577,A,text_8374,2020-05-08 00:00:00,403445,700.7508,C,text_5212,2020-04-05 00:00:00,266661,5.597,B,text_3907,2021-02-03 00:00:00,331584,497.7289,A,text_4786
17,419873,738.775,A,text_7739,2022-01-04 00:00:00,455123,228.6682,B,text_9762,2021-10-30 00:00:00,114002,318.0527,C,text_2896,2020-03-05 00:00:00,533334,588.6758,B,text_5350,2022-04-03 00:00:00,998911,897.9852,A,text_4572,2022-10-25 00:00:00,853774,123.5426,D,text_2854,2021-09-16 00:00:00,11004,270.308,A,text_3084,2022-03-22 00:00:00,769115,832.4055,B,text_355,2022-02-23 00:00:00,303616,917.6651,B,text_5315,2021-02-11 00:00:00,577355,190.9954,C,text_5334
18,820194,320.844,B,text_2318,2020-06-12 00:00:00,745348,967.1932,B,text_8357,2020-11-22 00:00:00,329428,618.8185,B,text_314,2020-03-21 00:00:00,752910,227.8812,A,text_2335,2021-07-22 00:00:00,506298,527.5538,B,text_6520,2021-10-07 00:00:00,564377,245.4719,C,text_8758,2020-05-23 00:00:00,323561,931.0313,B,text_9775,2021-10-08 00:00:00,777805,880.0456,D,text_9541,2022-01-12 00:00:00,548158,433.7754,A,text_5064,2021-08-18 00:00:00,807545,897.9808,D,text_2109
19,271996,920.8063,D,text_4587,2021-11-09 00:00:00,344242,887.1372,C,text_1213,2021-05-17 00:00:00,841368,164.4471,A,text_4849,2022-11-14 00:00:00,485968,168.3155,B,text_7075,2022-03-10 00:00:00,243371,919.7049,D,text_7440,2020-05-21 00:00:00,546667,540.6162,D,text_751,2020-05-21 00:00:00,463223,351.6916,D,text_2312,2020-04-16 00:00:00,246608,880.2629,D,text_9069,2022-08-08 00:00:00,430431,770.0576,A,text_5732,2021-07-19 00:00:00,736198,722.1795,B,text_4767
20,315994,910.8029,A,text_3785,2021-10-24 00:00:00,86608,670.5464,D,text_8178,2020-08-07 00:00:00,583586,116.8661,D,text_9499,2022-01-09 00:00:00,240818,473.6434,A,text_2577,2021-09-19 00:00:00,337219,960.1442,D,text_35,2020-10-02 00:00:00,61242,107.3894,D,text_9029,2021-04-05 00:00:00,80957,891.9992,B,text_2662,2022-03-08 00:00:00,392546,848.107,C,text_9165,2020-11-18 00:00:00,385724,619.8583,A,text_8513,2021-09-07 00:00:00,137681,57.8621,C,text_7439
21,160182,649.5375,A,text_2073,2021-12-23 00:00:00,398308,764.4839,A,text_8150,2020-09-02 00:00:00,141476,144.6711,D,text_9531,2020-01-14 00:00:00,709607,901.0337,B,text_7163,2021-05-19 00:00:00,324002,159.4931,A,text_2445,2022-09-10 00:00:00,206338,284.6126,B,text_7395,2022-12-14 00:00:00,984297,738.3274,C,text_6796,2021-01-04 00:00:00,444433,1.1359,D,text_2980,2021-04-04 00:00:00,918645,707.9592,D,text_8821,2022-06-02 00:00:00,809373,220.9953,C,text_7499
22,947675,811.8336,C,text_825,2020-08-31 00:00:00,72286,714.1068,D,text_6127,2020-06-04 00:00:00,228858,329.6505,A,text_5373,2020-03-22 00:00:00,785699,544.2067,B,text_7003,2021-05-03 00:00:00,245843,152.8098,B,text_9571,2021-05-17 00:00:00,386771,836.0083,D,text_5770,2020-01-20 00:00:00,749622,866.7201,D,text_5009,2022-01-09 00:00:00,561642,336.3327,B,text_449,2021-08-13 00:00:00,347369,110.6561,B,text_7486,2022-05-20 00:00:00,847596,840.8286,A,text_5028
23,673306,995.4992,D,text_3971,2021-05-22 00:00:00,562556,582.1164,C,text_1557,2022-03-07 00:00:00,857338,62.9316,C,text_8048,2022-04-21 00:00:00,683165,383.9282,A,text_2748,2020-05-16 00:00:00,774725,615.4149,C,text_188,2021-05-08 00:00:00,239628,321.8719,B,text_8609,2022-10-03 00:00:00,289747,895.4638,D,text_8761,2021-06-09 00:00:00,200748,324.7976,C,text_7456,2021-08-23 00:00:00,629734,707.227,D,text_6910,2021-08-10 00:00:00,889003,850.5738,C,text_5123
24,735853,742.9332,B,text_4491,2021-08-21 00:00:00,324999,183.9483,D,text_7433,2022-06-01 00:00:00,434849,99.4663,D,text_8532,2021-06-13 00:00:00,993384,332.2545,A,text_8020,2022-08-21 00:00:00,278892,726.773,B,text_1683,2020-11-01 00:00:00,718507,802.6451,D,text_747,2021-06-16 00:00:00,73076,810.3731,A,text_4862,2020-05-18 00:00:00,735977,986.2369,B,text_3901,2022-01-08 00:00:00,460395,760.5032,B,text_3472,2022-12-17 00:00:00,35252,693.3655,A,text_289
25,139906,346.3714,C,text_8885,2022-04-02 00:00:00,121851,750.8394,B,text_8973,2022-04-15 00:00:00,146978,207.7074,C,text_6915,2022-04-19 00:00:00,282003,715.9341,A,text_440,2021-05-30 00:00:00,72792,597.3655,A,text_4335,2022-07-03 00:00:00,743166,630.81,D,text_7386,2020-04-26 00:00:00,155693,425.3839,A,text_627,2022-04-06 00:00:00,284853,288.2529,A,text_969,2021-07-24 00:00:00,475267,819.5981,A,text_9084,2022-10-11 00:00:00,63395,981.4759,C,text_5620
26,562721,930.5645,B,text_4742,2020-10-16 00:00:00,914193,258.8586,C,text_6790,2022-10-30 00:00:00,278722,476.3874,B,text_6314,2020-07-18 00:00:00,860604,754.4713,D,text_97,2021-05-26 00:00:00,227695,838.6869,D,text_7144,2020-01-26 00:00:00,344067,456.2007,D,text_1821,2020-07-31 00:00:00,305320,313.2598,B,text_5696,2020-07-29 00:00:00,979356,904.4939,C,text_8738,2022-09-20 00:00:00,75405,838.2555,D,text_1015,2021-10-08 00:00:00,717362,185.6019,B,text_6783
27,22797,93.8727,A,text_3347,2020-07-28 00:00:00,278332,763.0293,C,text_8560,2021-01-14 00:00:00,52916,622.5345,C,text_1799,2021-05-21 00:00:00,107540,247.9571,A,text_1981,2020-07-08 00:00:00,635404,493.9691,C,text_7306,2022-12-18 00:00:00,987987,287.6443,C,text_3895,2020-05-13 00:00:00,47166,99.3012,D,text_885,2021-04-24 00:00:00,857188,199.2479,A,text_6493,2021-07-19 00:00:00,455668,993.8227,D,text_1002,2021-03-08 00:00:00,150902,935.8011,A,text_3808
28,58569,881.3563,C,text_1470,2022-06-19 00:00:00,50140,625.8353,B,text_6803,2020-06-17 00:00:00,259623,693.4735,C,text_3702,2021-05-20 00:00:00,613776,616.001,D,text_6861,2022-03-03 00:00:00,338964,231.0767,D,text_8866,2021-11-06 00:00:00,324455,301.0223,B,text_1823,2021-09-17 00:00:00,695374,661.4508,C,text_9658,2020-06-10 00:00:00,401346,498.2197,B,text_7923,2020-02-10 00:00:00,437098,978.8655,C,text_3087,2021-06-27 00:00:00,963615,707.1613,D,text_1943
29,252391,592.3885,C,text_2420,2020-12-28 00:00:00,904736,12.04,A,text_2136,2022-04-14 00:00:00,105492,59.1727,A,text_5132,2022-09-11 00:00:00,450171,26.8761,A,text_3950,2020-02-24 00:00:00,138234,759.6488,B,text_7284,2021-08-19 00:00:00,241676,195.7523,B,text_2359,2022-04-15 00:00:00,609337,615.1634,D,text_7169,2020-03-23 00:00:00,414530,299.9733,B,text_2560,2021-04-17 00:00:00,555839,142.4959,D,text_7602,2022-07-29 00:00:00,468427,392.2729,A,text_8434
30,825175,335.3573,C,text_9792,2020-12-10 00:00:00,428820,928.675,B,text_9876,2021-09-26 00:00:00,820577,852.554,C,text_8314,2020-07-06 00:00:00,585231,554.5306,A,text_5577,2022-09-08 00:00:00,244891,670.1971,A,text_3845,2021-07-25 00:00:00,994125,259.3092,B,text_8251,2022-05-28 00:00:00,708990,620.3706,D,text_8439,2020-04-17 00:00:00,884527,544.1855,A,text_414,2021-05-23 00:00:00,750946,434.4556,B,text_2352,2021-05-16 00:00:00,999683,892.1563,D,text_590
31,567265,752.7323,C,text_9607,2022-04-06 00:00:00,599987,219.4391,D,text_2013,2021-10-30 00:00:00,686291,825.8908,B,text_4881,2021-02-28 00:00:00,237628,456.5764,B,text_3089,2021-05-01 00:00:00,247420,372.8438,D,text_3968,2022-04-15 00:00:00,420599,169.9178,C,text_5848,2020-05-12 00:00:00,775874,23.3012,D,text_1387,2022-07-04 00:00:00,591686,314.5456,A,text_2768,2021-05-10 00:00:00,464608,305.7522,A,text_2680,2020-12-04 00:00:00,727275,581.8038,A,text_2234
32,716310,168.1247,B,text_1873,2022-02-05 00:00:00,444830,301.4995,C,text_4779,2021-01-15 00:00:00,559181,483.0651,C,text_5429,2021-10-28 00:00:00,147869,136.488,C,text_3453,2021-01-21 00:00:00,179339,216.4768,A,text_7417,2020-04-29 00:00:00,813359,667.8819,D,text_7646,2020-09-22 00:00:00,504063,773.1056,B,text_6530,2022-08-08 00:00:00,869434,47.4865,D,text_524,2020-07-30 00:00:00,481912,237.06,D,text_5234,2022-12-27 00:00:00,416227,993.9121,B,text_766
33,542110,908.6915,B,text_438,2022-06-08 00:00:00,895864,81.3518,A,text_1602,2020-03-29 00:00:00,913061,798.4656,A,text_3695,2020-09-01 00:00:00,764773,448.0717,A,text_1273,2021-06-08 00:00:00,206580,845.0593,B,text_8955,2020-06-11 00:00:00,163291,884.286,D,text_8526,2020-04-22 00:00:00,266070,186.7361,A,text_8461,2021-12-08 00:00:00,657929,246.5654,A,text_9651,2020-10-23 00:00:00,373370,928.6807,B,text_489,2020-09-15 00:00:00,609570,930.6255,A,text_8355
34,85335,952.386,C,text_1770,2021-03-31 00:00:00,873557,625.9408,C,text_6567,2022-12-02 00:00:00,423287,298.479,C,text_4587,2021-10-13 00:00:00,816686,880.4292,D,text_2644,2022-07-27 00:00:00,942604,999.9409,C,text_1476,2021-03-11 00:00:00,844393,911.7383,C,text_2556,2020-02-28 00:00:00,71852,665.3307,A,text_9735,2021-07-19 00:00:00,344314,114.95,B,text_2771,2020-10-26 00:00:00,18340,999.4383,C,text_9254,2021-12-07 00:00:00,478877,456.6453,C,text_3652
35,7014,738.8254,B,text_8015,2022-12-09 00:00:00,66302,684.4858,A,text_9981,2020-04-17 00:00:00,155874,809.3807,B,text_7746,2021-07-09 00:00:00,959265,494.417,A,text_2815,2020-05-17 00:00:00,627136,373.931,D,text_2648,2021-06-25 00:00:00,57319,780.1568,C,text_9159,2022-01-13 00:00:00,231263,132.2615,B,text_458,2022-05-09 00:00:00,632203,470.0736,A,text_8192,2021-04-13 00:00:00,809973,168.014,D,text_9711,2020-10-21 00:00:00,721918,324.1532,C,text_76
36,445030,191.3807,A,text_336,2020-08-11 00:00:00,193324,739.2601,A,text_6700,2021-12-30 00:00:00,909999,555.1196,D,text_8067,2022-04-23 00:00:00,816148,367.2417,B,text_523,2022-09-30 00:00:00,344646,854.6566,C,text_564,2021-07-29 00:00:00,978556,125.6326,C,text_3937,2022-07-29 00:00:00,265355,818.7512,C,text_5476,2021-08-02 00:00:00,470384,63.5573,C,text_9777,2021-07-29 00:00:00,822297,56.1389,B,text_4971,2022-06-06 00:00:00,79008,298.0545,D,text_5619
37,612336,469.9608,B,text_4157,2022-09-22 00:00:00,979055,670.6404,A,text_6326,2022-02-22 00:00:00,512799,610.4828,C,text_3487,2021-08-03 00:00:00,716434,63.7053,D,text_9175,2021-09-23 00:00:00,58388,644.2348,C,text_4106,2020-03-18 00:00:00,269468,691.5446,A,text_608,2020-04-29 00:00:00,707257,526.1359,B,text_1502,2021-09-23 00:00:00,744045,965.731,B,text_8048,2022-08-25 00:00:00,774929,604.1358,D,text_8352,2022-05-02 00:00:00,256726,139.8883,A,text_3260
38,639923,368.3357,B,text_2412,2021-02-18 00:00:00,794987,576.3577,D,text_1697,2022-09-12 00:00:00,152982,585.0926,D,text_5709,2020-05-10 00:00:00,113947,794.0464,A,text_1853,2020-02-12 00:00:00,138896,502.4527,A,text_3363,2020-05-05 00:00:00,560141,397.3505,B,text_8669,2022-12-01 00:00:00,13981,513.956,A,text_2319,2022-01-21 00:00:00,722663,698.276,A,text_4656,2020-03-12 00:00:00,31520,762.6162,B,text_8151,2022-08-21 00:00:00,647120,122.1406,B,text_7612
39,757583,942.9698,C,text_3096,2020-11-22 00:00:00,907364,350.8516,D,text_20,2020-02-24 00:00:00,111423,311.6495,A,text_1408,2021-10-21 00:00:00,910113,250.1708,D,text_6841,2020-10-13 00:00:00,175219,599.0651,C,text_7330,2020-10-03 00:00:00,757056,303.0816,C,text_8826,2021-08-20 00:00:00,528857,624.88,C,text_6748,2021-11-05 00:00:00,114204,795.3901,B,text_948,2020-09-14 00:00:00,278228,529.5099,A,text_8244,2022-09-19 00:00:00,661461,365.4664,C,text_5053
40,362360,86.7919,D,text_2190,2020-02-17 00:00:00,993607,580.9548,C,text_1357,2021-12-16 00:00:00,113828,78.141,D,text_129,2020-08-19 00:00:00,350439,565.9853,C,text_7554,2022-10-31 00:00:00,261342,903.4265,D,text_512,2022-01-03 00:00:00,446390,268.6304,B,text_2420,2022-06-28 00:00:00,249769,950.5525,A,text_6920,2021-09-11 00:00:00,559576,35.0296,B,text_8918,2022-11-26 00:00:00,268674,197.0614,B,text_1787,2020-05-16 00:00:00,280391,406.0855,A,text_8256
41,710260,260.8558,D,text_7264,2021-07-03 00:00:00,944907,546.8267,C,text_7718,2020-07-25 00:00:00,402892,211.3255,B,text_9621,2020-07-27 00:00:00,711252,481.3357,A,text_8124,2020-03-09 00:00:00,329806,934.193,B,text_9758,2020-05-22 00:00:00,963576,457.6998,A,text_5777,2022-12-30 00:00:00,114854,30.4773,A,text_1011,2021-02-04 00:00:00,430960,208.8362,D,text_7668,2022-02-24 00:00:00,443666,393.9911,B,text_3319,2022-10-22 00:00:00,896933,687.8598,A,text_1919
42,143941,566.2432,C,text_7962,2021-05-06 00:00:00,226749,734.416,A,text_4851,2022-08-09 00:00:00,159903,787.5831,B,text_7371,2021-06-02 00:00:00,164915,626.8107,D,text_1246,2021-06-16 00:00:00,967292,600.4719,A,text_5734,2021-06-10 00:00:00,631859,41.3776,A,text_3359,2022-02-05 00:00:00,141845,578.0215,B,text_4646,2020-05-25 00:00:00,476326,416.1847,C,text_5413,2020-11-27 00:00:00,832235,572.7197,B,text_5454,2022-07-09 00:00:00,405173,394.4376,C,text_3387
43,833215,937.8413,D,text_6376,2020-11-15 00:00:00,324277,900.927,B,text_7234,2020-09-08 00:00:00,331539,29.9206,C,text_522,2021-11-16 00:00:00,518454,491.3744,A,text_996,2020-10-24 00:00:00,154666,90.3576,B,text_3545,2021-03-27 00:00:00,716817,578.7614,C,text_2117,2020-11-16 00:00:00,282775,567.1302,B,text_7015,2020-03-06 00:00:00,161426,587.4065,A,text_2411,2021-02-06 00:00:00,854500,765.4223,A,text_5669,2020-11-23 00:00:00,956410,435.3669,C,text_4843
44,697209,343.4281,A,text_4187,2020-03-14 00:00:00,910523,117.3632,B,text_4464,2021-09-12 00:00:00,656665,927.0691,D,text_8965,2021-08-23 00:00:00,753071,509.1159,A,text_5090,2020-10-02 00:00:00,667656,827.642,B,text_6035,2022-06-30 00:00:00,942921,926.5704,B,text_2076,2022-08-17 00:00:00,287079,149.9625,A,text_3904,2022-11-16 00:00:00,380921,754.57,C,text_1395,2022-11-10 00:00:00,366855,562.5424,C,text_6426,2020-11-10 00:00:00,806425,499.7072,D,text_6804
45,477546,869.6326,D,text_5736,2022-10-21 00:00:00,628794,564.5507,A,text_9678,2022-11-30 00:00:00,373849,772.4132,B,text_9306,2021-09-15 00:00:00,792769,657.3323,C,text_3182,2022-09-13 00:00:00,706752,431.4097,A,text_2772,2022-06-07 00:00:00,50159,844.518,B,text_6489,2020-09-28 00:00:00,40775,843.0635,B,text_8563,2021-04-27 00:00:00,443069,916.9221,B,text_5779,2020-07-01 00:00:00,806598,469.296,C,text_4974,2020-12-04 00:00:00,387667,155.1324,A,text_2059
46,212144,611.8256,B,text_9101,2020-11-14 00:00:00,864373,504.311,D,text_4587,2020-05-21 00:00:00,946194,534.4716,B,text_9193,2021-05-14 00:00:00,749802,241.6905,A,text_9287,2022-08-11 00:00:00,196354,671.8652,C,text_656,2021-08-17 00:00:00,457456,949.155,C,text_4923,2021-08-01 00:00:00,84191,187.6382,B,text_1607,2020-05-11 00:00:00,405410,964.7293,C,text_8182,2021-09-28 00:00:00,996285,661.0899,C,text_7376,2020-11-22 00:00:00,986218,372.3947,D,text_7526
47,460962,260.9069,B,text_864,2020-06-28 00:00:00,431128,527.1867,D,text_3506,2020-09-03 00:00:00,645236,440.481,A,text_5336,2022-03-31 00:00:00,961622,567.2312,A,text_5987,2022-03-01 00:00:00,525710,423.9656,A,text_3687,2021-06-06 00:00:00,105820,943.9431,B,text_7013,2021-04-03 00:00:00,274786,269.9291,C,text_2257,2020-09-01 00:00:00,601488,794.3687,D,text_1715,2021-06-09 00:00:00,176829,979.7414,D,text_7687,2021-03-31 00:00:00,46678,526.932,B,text_1997
48,434975,365.2024,A,text_8027,2020-09-18 00:00:00,480025,817.1535,C,text_7327,2022-09-07 00:00:00,193507,29.4515,C,text_6082,2021-08-13 00:00:00,861219,610.3407,D,text_1925,2020-06-20 00:00:00,744148,878.5888,B,text_7974,2022-09-11 00:00:00,535428,52.5534,D,text_6609,2022-12-12 00:00:00,618447,601.0024,A,text_2760,2021-10-19 00:00:00,84783,119.2631,D,text_3111,2020-09-18 00:00:00,931331,248.9343,B,text_254,2022-01-14 00:00:00,109201,638.564,A,text_8685
49,829574,491.2282,C,text_8668,2022-08-15 00:00:00,989241,242.7744,A,text_612,2020-06-20 00:00:00,992413,846.5421,C,text_2474,2021-09-08 00:00:00,199916,355.6483,A,text_6420,2022-04-28 00:00:00,486310,617.5963,C,text_4493,2020-07-29 00:00:00,920223,790.9044,D,text_9962,2020-03-11 00:00:00,104180,871.0963,C,text_8412,2022-05-21 00:00:00,514927,403.4027,A,text_7021,2020-05-16 00:00:00,77751,782.5911,B,text_6008,2020-03-28 00:00:00,513410,368.3594,D,text_5567
50,456226,902.0615,C,text_375,2021-04-11 00:00:00,718075,407.1506,B,text_9383,2020-10-21 00:00:00,753579,283.0972,C,text_8751,2020-02-26 00:00:00,793413,599.6714,A,text_2328,2020-01-15 00:00:00,292345,161.5077,D,text_3459,2021-07-25 00:00:00,561839,497.5856,D,text_6656,2021-05-02 00:00:00,337172,423.5337,B,text_2534,2021-03-02 00:00:00,483559,101.6129,C,text_5398,2021-09-07 00:00:00,54600,576.7573,C,text_6586,2021-08-11 00:00:00,171996,662.8834,C,text_8841
51,651427,981.7006,D,text_7492,2020-01-12 00:00:00,797700,475.1145,C,text_9314,2021-10-27 00:00:00,244012,210.2627,C,text_5267,2022-12-25 00:00:00,891156,701.9898,D,text_4846,2022-09-22 00:00:00,214774,89.3452,A,text_3381,2022-06-29 00:00:00,568186,797.7426,D,text_9277,2021-06-17 00:00:00,100797,512.1346,C,text_4354,2022-06-25 00:00:00,557945,270.6451,A,text_2355,2021-11-17 00:00:00,577965,494.6052,C,text_3434,2020-12-28 00:00:00,363616,913.299,A,text_8203
